nombre,categoria, precio ,stock,ml,tipo,aroma,marca,imagen 
CLUB DE NUIT MAN,árabes,$848,3,105,edp,Amaderada,ARMAF,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmlx4y0l8xqV0RC2xLFucVhL2XlaPgFbUZAQ&s	
CLUB DE NUIT URBAN MAN,árabes,$1016,1,105,edp,Amaderada,ARMAF,https://www.perfumecenter.com.mx/cdn/shop/files/6294015102642.jpg?v=1724405864	
CLUB DE NUIT WOMAN,árabes,$892,1,105,edp,Floral frutal,ARMAF,https://product-media.cdn.t1.com/product-channel/17612/2026/1/15/7f2d39c8f3a5afff2a83cbd6aa41f388.jpeg
ASAD ELIXIR MEN,árabes,$1328,1,100,edp,Especiada,LATTAFA,https://http2.mlstatic.com/D_NQ_NP_720489-MLA100389988617_122025-O.webp
YARA,árabes,$957,1,100,edp,Floral,LATTAFA,https://ss701.liverpool.com.mx/xl/1166551036.jpg	
YARA MOI,árabes,$953,1,100,edp,Gourmand,LATTAFA,https://fimgs.net/mdimg/perfume/o.80722.jpg	
YARA TOUS,árabes,$979,1,100,edp,Tropical,LATTAFA,https://static.wixstatic.com/media/1b0cdc_d24ec2f9f53f48b9a05484232e776557~mv2.jpeg/v1/fill/w_496,h_496,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/1b0cdc_d24ec2f9f53f48b9a05484232e776557~mv2.jpeg	
YARA CANDY,árabes,$911,1,100,edp,Gourmand,LATTAFA,https://ss701.liverpool.com.mx/xl/1166551036.jpg	
QAED AL FURSAN,árabes,$624,2,100,edp,Frutal,LATTAFA,https://ufemme.com/cdn/shop/files/Lattafa_Qaed_Al_Fursan_Man_90_ml_edp.png?v=1738090337	
ECLAIRE,árabes,$1068,2,100,edp,Gourmand,LATTAFA,https://www.vivifragances.com/cdn/shop/files/IMG-2435.webp?v=1764558337&width=2200	
THARWAH SILVER,árabes,$761,2,100,edp,Fresca,LATTAFA,https://laperfumeriadeleon.com/wp-content/uploads/2024/04/HO3496.jpg	
KHAMRAH,árabes,$1000,1,100,edp,gourmand,LATTAFA,https://cdn11.bigcommerce.com/s-2vt02okold/products/3987/images/6107/MLATK__87961.1731099911.386.513.jpg?c=1
SAFWAAN L AUTRE MUSK,árabes,$696,1,100,edp,Almizclada,LATTAFA,https://compraperfumesoriginales.com/product-images/safwaan-l-autre-musk-62903605901415295.png
